candidate_id,insurer,product,uin,policy_version,rule_type,rule_name,condition,value,unit,applies_to,exception,source_document,source_page,source_section,source_text,extraction_method,confidence,review_status,provenance
HDFC21-009,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP21016V012122,hdfc_optima_secure_2021_v1,POLICY_INACTIVE,"Policyholder cancellation notice (2021 - short-rate grid, differs from 2026)",Policyholder-initiated,15,DAYS,Cancellation with short-rate refund per elapsed-month/tenure grid,NOT_SPECIFIED_IN_SOURCE,HDFC_OPTIMA_SECURE_2021_HISTORICAL,18,Section D.1.12,"The Policyholder may cancel this Policy by giving 15 days' written notice and in such an event, the Company shall refund premium for the unexpired Policy Period as detailed below: [short-rate grid by elapsed month and 1/2/3-year tenure]",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
HDFC21-010,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP21016V012122,hdfc_optima_secure_2021_v1,CLAIM_NOTIFICATION_DEADLINE,Emergency hospitalization notification (2021),Whichever is earlier of hospitalization or discharge,24,HOURS,Emergency hospitalization,NOT_SPECIFIED_IN_SOURCE,HDFC_OPTIMA_SECURE_2021_HISTORICAL,20,Section E.1.1,"Within 24 hours from the date of emergency Hospitalization required or before the Insured Person's discharge from Hospital, whichever is earlier.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
HDFC21-011,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP21016V012122,hdfc_optima_secure_2021_v1,DOCUMENTATION_MISSING,KYC required for claims above threshold (2021),Claims above Rs 1 lakh,100000,RS,Policyholder KYC per AML guidelines,NOT_SPECIFIED_IN_SOURCE,HDFC_OPTIMA_SECURE_2021_HISTORICAL,21,Section E.1.6.p,"KYC documents (in all claims above Rs 1 lakh) of the Policyholder as per AML guidelines,",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
HDFC21-012,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP21016V012122,hdfc_optima_secure_2021_v1,SUB_LIMIT,"Cumulative Bonus (2021 - claims-reducible, differs from 2026)",Per claim-free Policy Year,10,PERCENT_OF_BASE_SI_MAX_100_PERCENT,Cumulative Bonus,"Reduces at same rate if a claim is made in a policy year (2021 rule); 2026 version is claims-independent instead",HDFC_OPTIMA_SECURE_2021_HISTORICAL,9,Section B.1.8,"Cumulative Bonus (CB) will be applied/increased by 10% of the Base Sum Insured in respect of each claim free Policy Year (where no claims are reported)... If a claim is made in any particular Policy Year, the CB accrued shall be reduced at the same rate at which it has accrued.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
IRDAI-001,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,irdai_master_circular_2024,POLICY_VERSION_RULE,Regulatory Moratorium period floor,After completion of continuous coverage,60,MONTHS,All health insurance indemnity policies,Applies via ported/migrated credit as well,IRDAI_MASTER_CIRCULAR_2024,NOT_SPECIFIED_IN_SOURCE,Chapter I para 13,"No policy and claim of health insurance shall be contestable on any grounds of non-disclosure and/or misrepresentation except for established fraud, after the completion of the Moratorium Period, i.e. 60 months of continuous coverage",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,REGULATORY_DOCUMENT
IRDAI-002,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,irdai_master_circular_2024,PREAUTH_REQUIREMENT,Regulatory cashless preauthorization TAT ceiling,From receipt of request,1,HOUR,All indemnity health insurance cashless requests,NOT_SPECIFIED_IN_SOURCE,IRDAI_MASTER_CIRCULAR_2024,NOT_SPECIFIED_IN_SOURCE,Chapter I para 15,"Insurer shall decide on the request for cashless authorization immediately but not more than one hour of receipt of request.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,REGULATORY_DOCUMENT
IRDAI-003,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,irdai_master_circular_2024,PREAUTH_REQUIREMENT,Regulatory final discharge authorization TAT ceiling,From receipt of discharge authorization request from hospital,3,HOURS,All indemnity health insurance cashless discharge requests,"Delay beyond 3 hours: additional hospital charges borne by insurer from shareholders' funds",IRDAI_MASTER_CIRCULAR_2024,NOT_SPECIFIED_IN_SOURCE,Chapter I para 16,"Insurer shall grant final authorization within three hours of the receipt of discharge authorization request from the hospital. In no case, the policyholder shall be made to wait to be discharged from the Hospital.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,REGULATORY_DOCUMENT
IRDAI-004,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,irdai_master_circular_2024,POLICY_VERSION_RULE,Regulatory free look period floor,From date of receipt of policy document,30,DAYS,Policies with term of one year or more,NOT_SPECIFIED_IN_SOURCE,IRDAI_MASTER_CIRCULAR_2024,NOT_SPECIFIED_IN_SOURCE,Chapter I para 5,"A period of 30 days (from the date of receipt of the policy document) is available to the policyholder to review the terms and conditions of the policy.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,REGULATORY_DOCUMENT
IRDAI-005,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,irdai_master_circular_2024,POLICY_INACTIVE,Regulatory policyholder cancellation notice ceiling,Policyholder-initiated,7,DAYS,Cancellation of indemnity-based health insurance policy,NOT_SPECIFIED_IN_SOURCE,IRDAI_MASTER_CIRCULAR_2024,NOT_SPECIFIED_IN_SOURCE,Chapter I para 6,"The policyholder may cancel his/her policy at any time during the term, by giving 7 days notice in writing.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,REGULATORY_DOCUMENT
IRDAI-006,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,irdai_master_circular_2024,POLICY_VERSION_RULE,Regulatory grace period (monthly),On premium due date,15,DAYS,Monthly premium instalment,NOT_SPECIFIED_IN_SOURCE,IRDAI_MASTER_CIRCULAR_2024,NOT_SPECIFIED_IN_SOURCE,Chapter I para 8,"The grace period of fifteen days (where premium is paid on a monthly instalments)... is available on the premium due date, to pay the premium.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,REGULATORY_DOCUMENT
IRDAI-007,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,irdai_master_circular_2024,POLICY_VERSION_RULE,Regulatory grace period (quarterly/half-yearly/annual),On premium due date,30,DAYS,Quarterly/half-yearly/annual premium instalment,NOT_SPECIFIED_IN_SOURCE,IRDAI_MASTER_CIRCULAR_2024,NOT_SPECIFIED_IN_SOURCE,Chapter I para 8,"...thirty days (where premium is paid in quarterly/half-yearly/annual instalments) is available on the premium due date, to pay the premium.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,REGULATORY_DOCUMENT
IRDAI-008,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,irdai_master_circular_2024,POLICY_VERSION_RULE,Regulatory portability response window (existing insurer),From receipt of request,72,HOURS,Existing insurer responding to Acquiring insurer via IIB portal,NOT_SPECIFIED_IN_SOURCE,IRDAI_MASTER_CIRCULAR_2024,NOT_SPECIFIED_IN_SOURCE,Chapter I para 12,"The existing insurer shall provide the information sought by the Acquiring insurer immediately but not more than 72 hours of receipt of request through Insurance Information Bureau of India (IIB) https://iib.gov.in/ portal.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,REGULATORY_DOCUMENT
IRDAI-009,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,irdai_master_circular_2024,POLICY_VERSION_RULE,Regulatory Ombudsman award compliance window,From receipt of award,30,DAYS,Ombudsman award implementation,"Non-compliance -> penalty of Rs.5,000/day payable to complainant, in addition to penal interest under Insurance Ombudsman Rules 2017",IRDAI_MASTER_CIRCULAR_2024,NOT_SPECIFIED_IN_SOURCE,Chapter I para 20,"The Insurer is required to comply with the award of the Insurance Ombudsman within 30 days of receipt of award by the Insurer. In case the Insurer does not honour the ombudsman award, a penalty of Rs. 5000/- per day shall be payable to the complainant.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,REGULATORY_DOCUMENT
IRDAI-010,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,NOT_APPLICABLE_REGULATORY_DOCUMENT,irdai_master_circular_2024,POLICY_EXPIRED,Regulatory withdrawn-product renewal window,From date of product withdrawal,90,DAYS,One-time renewal option for existing customers of withdrawn product,Alternative: migrate to suitable existing/modified product,IRDAI_MASTER_CIRCULAR_2024,NOT_SPECIFIED_IN_SOURCE,Chapter II.D.II.5.a,"A one-time option to renew the existing product, if renewal falls within the 90 days from the date of withdrawal of the product",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,REGULATORY_DOCUMENT
